PLANTSCNAME,NAME,PRICE,AMOUNTSALE,AMOUNT,UNIT
Andropogon tracyi Nash,Tracy's Bluestem,49,74,81,error: Field 'good' not found
Psilocarphus tenellus Nutt. var. globiferus (Bertero ex DC.) Morefield,Slender Woollyheads,24,85,41,error: Field 'good' not found
Ilex macfadyenii (Walp.) Rehder,Caribbean Holly,72,37,39,error: Field 'good' not found
Elaphoglossum alatum Gaudich. var. fauriei (Copeland) W.R. Anderson & Crosby,Tall Tonguefern,20,73,97,error: Field 'good' not found
Hedyotis degeneri Fosberg var. coprosmifolia Fosberg,Waianae Range Starviolet,12,11,59,error: Field 'good' not found
Cryptantha rattanii Greene,Rattan's Cryptantha,49,86,5,error: Field 'good' not found
Atriplex elegans (Moq.) D. Dietr. var. fasciculata (S. Watson) M.E. Jones,Wheelscale Saltbush,60,2,44,error: Field 'good' not found
Viola purpurea Kellogg ssp. venosa (S. Watson) M.S. Baker & J.C. Clausen,Goosefoot Violet,71,22,52,error: Field 'good' not found
Sambucus racemosa L. var. racemosa,Red Elderberry,3,95,75,error: Field 'good' not found
Maackia Rupr.,Maackia,49,6,18,error: Field 'good' not found
Lempholemma cladodes (Tuck.) Zahlbr.,Lempholemma Lichen,59,25,48,error: Field 'good' not found
Dubautia plantaginea Gaudich. ssp. magnifolia (Sherff) G.D. Carr,Plantainleaf Dubautia,8,8,69,error: Field 'good' not found
Polystichum rhizophyllum (Sw.) C. Presl,Tailed Hollyfern,29,41,4,error: Field 'good' not found
Oreochrysum Rydb.,Goldenrod,76,41,74,error: Field 'good' not found
Robinia hispida L.,Bristly Locust,65,22,50,error: Field 'good' not found
Dudleya abramsii Rose,Abrams' Liveforever,78,13,38,error: Field 'good' not found
Acacia confusa Merr.,Small Philippine Acacia,34,27,11,error: Field 'good' not found
Crossopetalum ilicifolium (Poir.) Kuntze,Christmasberry,93,87,99,error: Field 'good' not found
Aschisma kansanum A.L. Andrews,Kansas Aschisma Moss,26,85,58,error: Field 'good' not found
Trematolobelia Zahlbr. ex Rock,False Lobelia,3,37,53,error: Field 'good' not found
Anisacanthus Nees,Desert Honeysuckle,25,83,47,error: Field 'good' not found
Clematis tangutica (Maxim.) Korsh.,Golden Tiara Clematis,65,70,75,error: Field 'good' not found
Citharexylum brachyanthum (A. Gray) A. Gray,Boxthorn Fiddlewood,70,86,17,error: Field 'good' not found
Sophora flavescens Aiton,Shrubby Sophora,94,11,55,error: Field 'good' not found
Samanea saman (Jacq.) Merr.,Raintree,81,35,72,error: Field 'good' not found
Myosotis azorica H.C. Watson ex Hook.,Azores Forget-me-not,43,46,55,error: Field 'good' not found
Sorghum bicolor (L.) Moench ssp. drummondii (Nees ex Steud.) de Wet & Harlan,Sudangrass,87,24,58,error: Field 'good' not found
Helianthella parryi A. Gray,Parry's Dwarf-sunflower,28,10,93,error: Field 'good' not found
Pterygoneurum kozlovii Laz.,Kozlov's Pterygoneurum Moss,75,85,99,error: Field 'good' not found
Pleuridium subulatum (Hedw.) Rabenh.,Pleuridium Moss,45,19,76,error: Field 'good' not found
Carphephorus Cass.,Chaffhead,68,85,60,error: Field 'good' not found
Endocarpon lepidallum Nyl.,Chalice Lichen,84,15,74,error: Field 'good' not found
Bartonia texana Correll,Texas Screwstem,35,96,88,error: Field 'good' not found
Aulaxina quadrangula (Stirt.) R. Sant.,Aulaxina Lichen,93,6,38,error: Field 'good' not found
Solanum aethiopicum L.,Ethiopian Nightshade,36,82,38,error: Field 'good' not found
"Acacia deanei (R.T. Baker) R.T. Baker ex M.B. Welch, Coombs & McGlymn",Deane's Wattle,50,96,1,error: Field 'good' not found
Amelanchier obovalis (Michx.) Ashe,Coastal Serviceberry,89,86,3,error: Field 'good' not found
Nectandra turbacensis (Kunth) Nees,Laurel Amarillo,14,32,15,error: Field 'good' not found
Trollius laxus Salisb. ssp. albiflorus (A. Gray) Á. Löve & D. Löve & Kapoor,American Globeflower,73,6,24,error: Field 'good' not found
Carex virescens Muhl. ex Willd.,Ribbed Sedge,11,57,56,error: Field 'good' not found
Vitex trifolia L. var. variegata Moldenke,Varigated Chastetree,54,2,90,error: Field 'good' not found
Blyxa aubertii Rich.,Roundfruit Blyxa,8,64,78,error: Field 'good' not found
Melicope zahlbruckneri (Rock) T.G. Hartley & B.C. Stone,Kipuka Piaula,42,75,80,error: Field 'good' not found
